scene_id,acquisition_date,season_year,season_day,week_index,cloud_cover,valid_pixel_fraction,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_valid_pixels,evi_mean,evi_median,evi_p25,evi_p75,evi_valid_pixels,ndre_mean,ndre_median,ndre_p25,ndre_p75,ndre_valid_pixels
S2B_MSIL2A_20250503T052649_R105_T43QCB_20250503T075546,2025-05-03 05:26:49.024000+00:00,2025,32,4,26.38748,0.9903603603603603,0.22592100501060486,0.20007580518722534,0.13835200667381287,0.30214986205101013,21986,0.2457684874534607,0.20978885889053345,0.13726775348186493,0.3312528133392334,21986,0.15876036882400513,0.1344132423400879,0.08783121407032013,0.21737374365329742,21986
S2A_MSIL2A_20250510T053241_R105_T43QCB_20250510T084438,2025-05-10 05:32:41.024000+00:00,2025,39,5,11.801732,1.0,0.22830118238925934,0.20115461945533752,0.12849164009094238,0.3204476237297058,22200,0.23086696863174438,0.19441726803779602,0.11699700355529785,0.32581108808517456,22200,0.14685747027397156,0.12191250175237656,0.06873160600662231,0.21543194353580475,22200
S2B_MSIL2A_20250513T052649_R105_T43QCB_20250513T074251,2025-05-13 05:26:49.024000+00:00,2025,42,6,47.252381,0.24527027027027026,0.21963679790496826,0.202351912856102,0.15002688765525818,0.2735866904258728,5445,0.31027907133102417,0.28780120611190796,0.20139260590076447,0.3952268362045288,5445,0.15152716636657715,0.13971208035945892,0.09567848592996597,0.1957361102104187,5445
S2A_MSIL2A_20250530T053251_R105_T43QCB_20250530T083812,2025-05-30 05:32:51.024000+00:00,2025,59,8,66.926461,0.9707657657657658,0.31049343943595886,0.3173184394836426,0.22687089443206787,0.39950644969940186,21551,0.3523309528827667,0.3591766357421875,0.24559739232063293,0.46166858077049255,21551,0.20910242199897766,0.20839114487171173,0.140326589345932,0.2805766761302948,21551
S2B_MSIL2A_20250602T052649_R105_T43QCB_20250602T080006,2025-06-02 05:26:49.024000+00:00,2025,62,8,48.23119,0.4350900900900901,0.30826854705810547,0.30703204870224,0.2221233993768692,0.395394504070282,9659,0.3924523890018463,0.3879455029964447,0.2695332467556,0.516935408115387,9659,0.21554549038410187,0.2095012217760086,0.1427759975194931,0.28804701566696167,9659
S2C_MSIL2A_20250607T052711_R105_T43QCB_20250607T092114,2025-06-07 05:27:11.024000+00:00,2025,67,9,53.934139,0.912027027027027,0.33407390117645264,0.33965685963630676,0.22490409016609192,0.44506946206092834,20247,0.3791655898094177,0.37687891721725464,0.24084389209747314,0.5139203071594238,20247,0.21354424953460693,0.20776022970676422,0.1311764419078827,0.29425156116485596,20247
S2C_MSIL2A_20260403T052651_R105_T43QCB_20260403T104411,2026-04-03 05:26:51.025000+00:00,2026,2,0,7.726623,0.6420270270270271,0.24530057609081268,0.2205476611852646,0.14523866772651672,0.3323144018650055,14253,0.21949052810668945,0.18796271085739136,0.11488571017980576,0.30013346672058105,14253,0.15501561760902405,0.13125799596309662,0.08552264422178268,0.21068938076496124,14253
S2A_MSIL2A_20260405T053251_R105_T43QCB_20260405T103358,2026-04-05 05:32:51.024000+00:00,2026,4,0,7.302449,1.0,0.24115687608718872,0.21625879406929016,0.1374708116054535,0.3303896188735962,22200,0.23053891956806183,0.198849618434906,0.11736148595809937,0.31871578097343445,22200,0.1619153767824173,0.1368238627910614,0.08099210262298584,0.2270127236843109,22200
S2B_MSIL2A_20260408T052649_R105_T43QCB_20260408T091157,2026-04-08 05:26:49.024000+00:00,2026,7,1,10.825327,1.0,0.23621757328510284,0.21143695712089539,0.13888517022132874,0.3211427927017212,22200,0.23790542781352997,0.20623619854450226,0.1261482536792755,0.32614225149154663,22200,0.16096296906471252,0.13668915629386902,0.0832541435956955,0.22461232542991638,22200
S2C_MSIL2A_20260413T053021_R105_T43QCB_20260413T084816,2026-04-13 05:30:21.025000+00:00,2026,12,1,0.001159,1.0,0.2382633537054062,0.2088453769683838,0.13381993770599365,0.3317723870277405,22200,0.23579071462154388,0.19877272844314575,0.11888884752988815,0.3308020234107971,22200,0.15674026310443878,0.13104304671287537,0.08169993758201599,0.2200455516576767,22200
